City,Location_Info,State,District,Subdistrict,Division,Union_Territory,Autonomous_Division
Vridh,['Could not find data'],,,,,,
Poona,['Could not find data'],,,,,,
"Valinokkam, Tuticorin",['Could not find data'],,,,,,
Pali-Marwar,"['Pali Marwar', 'SH67', 'Pali', 'Pali Tehsil', 'Pali District', 'Rajasthan', '306400', 'India']",,Pali District,,,,
Madha,"['Madha', 'Solapur District', 'Maharashtra', 'India']",,Solapur District,,,,
Nagercoil,"['Nagercoil', 'Agastheeswaram', 'Kanniyakumari District', 'Tamil Nadu', '629001', 'India']",,Kanniyakumari District,,,,
Dilshad Garden,['Could not find data'],,,,,,
Sriganganagar,"['Sriganganagar Junction', 'SH7B', 'Ganganagar', 'Ganganagar Tehsil', 'Sri Ganganagar District', 'Rajasthan', '335001', 'India']",,Sri Ganganagar District,,,,
Madurai,"['Madurai', 'Madurai South', 'Madurai District', 'Tamil Nadu', 'India']",,Madurai District,,,,
Agartala,"['Agartala', 'Mohanpur', 'West Tripura District', 'Tripura', '799001', 'India']",,West Tripura District,,,,
Deoband,"['Deoband', 'Saharanpur District', 'Uttar Pradesh', 'India']",,Saharanpur District,,,,
Kam,['Could not find data'],,,,,,
"Mumbai, Delhi, Pune",['Could not find data'],,,,,,
Piprana,['Could not find data'],,,,,,
Arini,['Could not find data'],,,,,,
Nayapalli,['Could not find data'],,,,,,
Parwanoo,"['Parwanoo', 'Kasauli', 'Solan District', 'Himachal Pradesh', '173220', 'India']",,Solan District,,,,
"Chennai, Dharapuram",['Could not find data'],,,,,,
Samakhiyali,['Could not find data'],,,,,,
"Mangalore, Bangalore","['Tumkur Road', 'T Dasarahalli', 'Dasarahalli Zone', 'Bengaluru', 'Bangalore North', 'Bengaluru Urban District', 'Karnataka', '560057', 'India']",,Bengaluru Urban District,,,,
Nanguneri,"['Nanguneri', 'Tirunelveli District', 'Tamil Nadu', 'India']",,Tirunelveli District,,,,
Payyoli,"['Payyoli', 'Kannur-Calicut-Valanchery Highway', 'FCI Godown Thikkodi', 'Payyoli', 'Koyilandi', 'Kozhikode District', 'Kerala', '673529', 'India']",,Kozhikode District,,,,
Tirupur,"['tirupur', 'Tirupur - Perumanallur - Kunnathur - Perunthurai Road', 'Anna Nagar', 'TiruppurNorth', 'Tiruppur District', 'Tamil Nadu', '641666', 'India']",,Tiruppur District,,,,
Hoshiarpur,['Could not find data'],,,,,,
"Ranchi, Delhi",['Could not find data'],,,,,,
Payyannur,"['Payyannur Taluk', 'Kannur District', 'Kerala', 'India', 'Payyannur']",,Kannur District,,,,
Kalamassery,"['Kalamassery', 'Kanayannur', 'Ernakulam District', 'Kerala', '683104', 'India']",,Ernakulam District,,,,
T.Narasipura,"['Tirumakudalu Narasipura', 'Tirumakudalu Narasipura taluk', 'Mysuru District', 'Karnataka', '571110', 'India']",,Mysuru District,,,,
Thane,"['Thane', 'Thane District', 'Maharashtra', 'India']",,Thane District,,,,
Central Hazari Courts,['Could not find data'],,,,,,
Dhaula Kuan,['Could not find data'],,,,,,
Uda,"['Uda Ka Bas', 'Pachpadra Tehsil', 'Barmer District', 'Rajasthan', 'India']",,Barmer District,,,,
Karaikudi,"['Karaikudi', 'Karaikkudi', 'Sivagangai District', 'Tamil Nadu', '623001', 'India']",,Sivagangai District,,,,
Kovilpatti,"['Kovilpatti', 'Thoothukudi District', 'Tamil Nadu', 'India']",,Thoothukudi District,,,,
Bhubaneswar,"['Bhubaneswar', 'Bhubaneswar Municipal Corporation', 'Bhubaneswar (M.Corp.)', 'Khordha District', 'Odisha', '751001', 'India']",,Khordha District,,,,
Shahdara,"['Shahdara', 'Makki Sarai Railway Road', 'Shahdara', 'Vivek Vihar Tehsil', 'Shahdara District', 'Delhi', '110032', 'India']",,Shahdara District,,,,
Cuddalore,"['Cuddalore', 'Cuddalore District', 'Tamil Nadu', '607002', 'India']",,Cuddalore District,,,,
Garbada,"['Garbada', 'Garbada Taluka', 'Dahod District', 'Gujarat', '389155', 'India']",,Dahod District,,,,
Coimbatore,"['Coimbatore', 'Coimbatore North', 'Coimbatore District', 'Tamil Nadu', '641001', 'India']",,Coimbatore District,,,,
Ulundurpet,['Could not find data'],,,,,,
Koduvalloor,['Could not find data'],,,,,,
